title,salary,hinhthuc,capbac,gender,ex,add,keyword,link
,"Tới 2,500 USD",Toàn thời gian,Nhân viên,Không yêu cầu,5 năm,Hà Nội,,
Tuyển Trưởng Phòng Nhân Sự - Thu Nhập Từ 30 Đến 40 Triệu - Hồ Chí Minh,30-40 triệu,Toàn thời gian,Trưởng/Phó phòng,Không yêu cầu,4 năm,Hồ Chí Minh,"Nhân sự,Biên / Phiên dịch,Quản lý điều hành",https://www.topcv.vn/viec-lam/truong-phong-nhan-su-thu-nhap-tu-30-den-40-trieu-ho-chi-minh/796574.html
Tuyển Nhân Viên SEO Content Writer - Làm Việc Online Tại Nhà (Nhận Việc Ngay),7-11 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Marketing / Truyền thông / Quảng cáo,Báo chí / Truyền hình,Ngành nghề khác",https://www.topcv.vn/viec-lam/nhan-vien-seo-content-writer-lam-viec-online-tai-nha-nhan-viec-ngay/808203.html
Tuyển Chuyên Viên Nhân Sự Chuyên Đánh Giá Năng Lực Nội Bộ,Trên 11 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hồ Chí Minh,"Nhân sự,Quản lý điều hành",https://www.topcv.vn/viec-lam/chuyen-vien-nhan-su-chuyen-danh-gia-nang-luc-noi-bo/800185.html
Tuyển Nhân Viên Tư Vấn CSKH Tại Văn Phòng - Lương Cứng Lên Đến 10 Triệu - Không Yêu Cầu Kinh Nghiệm (Tân Bình),8-10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Tư vấn,Kinh doanh / Bán hàng,Bất động sản",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-cskh-tai-van-phong-luong-cung-len-den-10-trieu-khong-yeu-cau-kinh-nghiem-tan-binh/812019.html
Tuyển Kiến Trúc Sư Quy Hoạch (Hà Nội),12-25 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Kinh doanh / Bán hàng,Xây dựng,Kiến trúc",https://www.topcv.vn/viec-lam/kien-truc-su-quy-hoach-ha-noi/525389.html
Tuyển Nhân Viên Tư Vấn Khách Hàng - Không Tìm Data - Lương Từ 10Tr,Trên 10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Marketing / Truyền thông / Quảng cáo,Bán lẻ / bán sỉ",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-khach-hang-khong-tim-data-luong-tu-10tr/801191.html
Tuyển Nhân Viên Kinh Doanh (Thu Nhập 10-30 Triệu),10-30 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Hoá học / Sinh học,Marketing / Truyền thông / Quảng cáo",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thu-nhap-10-30-trieu/802048.html
Tuyển Nhân Viên Kiến Trúc Sư Đi Làm Ngay Lương Cứng Lên Đến 20 Triệu + Thưởng,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kiến trúc,Thiết kế đồ họa,Thiết kế nội thất",https://www.topcv.vn/viec-lam/nhan-vien-kien-truc-su-di-lam-ngay-luong-cung-len-den-20-trieu-thuong/798504.html
Tuyển Data Manager Night Shift (Kỹ Sư Phân Tích Dữ Liệu Mảng Xây Dựng) - Thu Nhập Upto 1000$,"Tới 1,000 USD",Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Công nghệ thông tin,Xây dựng,Kiến trúc",https://www.topcv.vn/viec-lam/data-manager-night-shift-ky-su-phan-tich-du-lieu-mang-xay-dung-thu-nhap-upto-1000/809810.html
